timestamp,model,is_final,seed,score_mean,gsm8k_reward_mean,gsm8k_accuracy,math500_accuracy,amc_accuracy,elapsed_deepmath-3bench-1gpu
2026-04-24T00:54:26.344613+00:00,baseline:abs,false,42,-0.5098,0.46,0.46,0.3015,0.1069,30611
2026-04-24T01:04:24.538116+00:00,baseline:k1,false,42,-0.502,0.4665,0.4665,0.3068,0.1009,31362
2026-04-24T01:10:25.148630+00:00,baseline:k2,false,42,-0.5195,0.4635,0.4635,0.3078,0.0949,31729
2026-04-24T01:20:25.251798+00:00,baseline:k3,false,42,-0.541,0.4656,0.4656,0.2943,0.113,32249
2026-04-24T18:39:41.923692+00:00,gpt-5.4,false,42,-0.4912,0.4666,0.4666,0.3043,0.1175,31768
2026-04-24T19:06:47.235144+00:00,deepseek-reasoner,false,42,-0.5146,0.4538,0.4538,0.2993,0.116,31939
2026-04-24T20:44:00.767854+00:00,qwen3.6-plus,false,42,-0.5273,0.4608,0.4608,0.3045,0.1145,32299
2026-04-24T21:07:01.115466+00:00,claude-opus-4.6,false,42,-0.5088,0.4713,0.4713,0.2905,0.1039,32201
2026-04-24T21:52:04.435471+00:00,gemini-3.1-pro-preview,false,42,-0.5176,0.4662,0.4662,0.3127,0.0858,34086
2026-04-25T01:15:28.383080+00:00,qwen3.6-plus,false,42,,,,,,
2026-04-25T08:14:39.267412+00:00,gpt-5.4,false,42,-0.5293,0.4643,0.4643,0.3155,0.113,31380
2026-04-25T08:14:43.482839+00:00,gpt-5.4,true,42,-0.4912,0.4666,0.4666,0.3043,0.1175,31768
2026-04-25T08:28:10.392035+00:00,deepseek-reasoner,false,42,-0.5381,0.4641,0.4641,0.3123,0.1205,31459
2026-04-25T14:05:30.486967+00:00,qwen3.6-plus,false,42,-0.4922,0.4683,0.4683,0.3095,0.1039,32165
2026-04-25T14:05:41.532087+00:00,qwen3.6-plus,true,42,-0.4922,0.4683,0.4683,0.3095,0.1039,32165
2026-04-25T19:10:29.641306+00:00,gemini-3.1-pro-preview,false,42,-0.5176,0.467,0.467,0.305,0.1069,31027
2026-04-25T19:11:00.926879+00:00,gemini-3.1-pro-preview,true,42,-0.5176,0.467,0.467,0.305,0.1069,31027
2026-04-25T19:22:30.551259+00:00,deepseek-reasoner,false,42,-0.5186,0.4687,0.4687,0.2918,0.1175,32810
2026-04-25T19:22:39.138374+00:00,deepseek-reasoner,true,42,-0.5381,0.4641,0.4641,0.3123,0.1205,31459
2026-04-25T20:24:33.937191+00:00,claude-opus-4.6,false,42,-0.5039,0.472,0.472,0.2973,0.1024,34364
2026-04-26T08:49:14.888505+00:00,claude-opus-4.6,false,42,-0.5029,0.4661,0.4661,0.3035,0.1069,32873
2026-04-26T08:49:23.435344+00:00,claude-opus-4.6,true,42,-0.5029,0.4661,0.4661,0.3035,0.1069,32873
