timestamp,model,is_final,seed,mse_ETTh1,mae_ETTh1,mse_Weather,mae_Weather,mse_ECL,mae_ECL,elapsed_ETTh1,elapsed_Weather,elapsed_ECL
2026-03-02T17:00:49.514283+00:00,baseline:dlinear,true,42,0.14976748824119568,0.26931190490722656,0.05025525018572807,0.11431574076414108,0.11316473037004471,0.24282407760620117,,,
2026-03-02T17:06:10.751412+00:00,baseline:timesnet,true,42,0.08032715320587158,0.19080160558223724,0.029269665479660034,0.055202264338731766,0.09145466238260269,0.207685187458992,,,
2026-03-02T17:17:18.493193+00:00,baseline:patchtst,true,42,0.10444267094135284,0.21572086215019226,0.03099076636135578,0.05247551575303078,0.06240222975611687,0.1694820076227188,,,
2026-04-05T04:14:39.907556+00:00,google/gemini-3.1-pro-preview,false,42,0.06416469067335129,0.17136448621749878,0.10909969359636307,0.16931118071079254,0.7954542636871338,0.7426397204399109,404,1055,2143
2026-04-05T04:26:36.428644+00:00,anthropic/claude-opus-4.6,false,42,0.037287745624780655,0.1308523416519165,0.05070953816175461,0.09237074851989746,0.07769088447093964,0.1921870857477188,161,372,374
2026-04-05T04:57:48.256100+00:00,gpt-5.4-pro,false,42,0.03744201362133026,0.12969674170017242,0.025853022933006287,0.040557779371738434,0.052416834980249405,0.15216293931007385,661,782,782
2026-04-05T05:39:07.908546+00:00,anthropic/claude-opus-4.6,false,42,0.04990967735648155,0.15305551886558533,0.03628455847501755,0.06954974681138992,0.08651942014694214,0.20364785194396973,158,317,317
2026-04-05T06:11:03.927607+00:00,google/gemini-3.1-pro-preview,false,42,0.07889337837696075,0.1865830272436142,0.04806160926818848,0.0745520293712616,0.04789537936449051,0.1445482224225998,371,1342,3328
2026-04-05T06:19:07.606011+00:00,anthropic/claude-opus-4.6,true,42,0.03658464178442955,0.12926067411899567,0.031134774908423424,0.05815969035029411,0.07747180014848709,0.19197015464305878,160,365,395
2026-04-06T11:30:46.152411+00:00,deepseek-reasoner,false,42,0.039452824741601944,0.13037876784801483,0.029438860714435577,0.055164922028779984,0.07612303644418716,0.1902104914188385,151,365,428
2026-04-06T11:42:45.644297+00:00,deepseek-reasoner,false,42,,,,,,,13,14,17
2026-04-06T12:06:36.336794+00:00,openai/gpt-5.4-pro,false,42,0.042496345937252045,0.1378777027130127,0.02630378119647503,0.03782929107546806,0.05482963100075722,0.15674884617328644,487,1201,1201
2026-04-06T12:52:54.612742+00:00,openai/gpt-5.4-pro,false,42,0.046623412519693375,0.14448586106300354,0.024724744260311127,0.036224689334630966,0.051113639026880264,0.1517922729253769,462,1283,1283
2026-04-06T13:49:21.987496+00:00,openai/gpt-5.4-pro,true,42,0.04447377473115921,0.14106036722660065,0.02480260655283928,0.036250755190849304,0.05049244314432144,0.15016970038414001,507,1152,1152
2026-04-07T04:17:32.809231+00:00,qwen/qwen3.6-plus:free,false,42,0.18753939867019653,0.28140708804130554,0.05370489880442619,0.0798751711845398,0.1178261786699295,0.23887406289577484,277,727,1902
2026-04-07T04:28:38.211169+00:00,qwen/qwen3.6-plus:free,true,42,0.18753939867019653,0.28140708804130554,0.05370489880442619,0.0798751711845398,0.1178261786699295,0.23887406289577484,277,727,1902
2026-04-26T06:47:59.710802+00:00,gpt-5.4,false,42,417.1376953125,0.9021117687225342,0.2124590426683426,0.10027922689914703,125.15409088134766,1.2607306241989136,85,282,285
2026-04-26T08:03:34.170040+00:00,gpt-5.4,false,42,0.09853840619325638,0.19951938092708588,,,0.09379634261131287,0.19925573468208313,1608,,
2026-04-26T08:03:38.697907+00:00,gpt-5.4,true,42,0.09853840619325638,0.19951938092708588,,,0.09379634261131287,0.19925573468208313,1608,,
