timestamp,model,is_final,seed,qed_denovo,sa_denovo,validity_denovo,elapsed_denovo,elapsed_linker,elapsed_frag,qed_linker,sa_linker,validity_linker,qed_frag,sa_frag,validity_frag
2026-04-10T15:49:10.790559+00:00,baseline:diffbp,true,42,0.228257,0.357177,0.5685,55270,77970,80165,0.279506,0.456378,0.523256,0.352184,0.460768,0.682787
2026-04-10T15:25:59.677545+00:00,baseline:targetdiff,true,42,0.493402,0.590917,0.9865,53078,76916,78718,0.395317,0.620113,0.923256,0.442362,0.600783,0.941803
2026-04-10T10:17:10.756310+00:00,baseline:pocket2mol,true,42,0.511909,0.598785,0.988,53050,76897,78693,0.401953,0.625115,0.911628,0.453814,0.59322,0.936885
